method,n_components,algorithm,k,silhouette,dunn,wcss,ari,nmi,time
PCA_full,10,PCA_full,4,0.18323005946821877,0.007363145186551527,12486.473279390306,0.2822942533787496,0.42648515168453416,0.02369093894958496
PCA_full,10,PCA_full,5,0.19451292217898594,0.01580086284255284,11394.799175604516,0.26226777380755584,0.43834123470501124,0.02816033363342285
PCA_full,10,PCA_full,6,0.19703733366277112,0.007808152933563226,10510.539041722697,0.20637732506643047,0.37415301970027814,0.05670452117919922
PCA_full,10,PCA_full,7,0.2242807451852112,0.0061741786527272705,9627.49441779837,0.20472999309661452,0.37099685682698647,0.06374931335449219
PCA_full,10,PCA_full,8,0.217506867961709,0.018170807736888613,8985.202873390372,0.16534943058062107,0.3546413492381887,0.048274993896484375
PCA_full,11,PCA_full,2,0.22662847811712594,0.022542566501601403,15847.42785589864,0.18293789086742732,0.28813998239806937,0.02769303321838379
PCA_full,11,PCA_full,3,0.17257018217086573,0.007468580085741432,14420.900658534914,0.27137217748302545,0.4247352986760535,0.02628779411315918
PCA_full,11,PCA_full,4,0.17267437566560873,0.007351617419265924,13218.713162946688,0.260103436023635,0.41185177526481626,0.027776241302490234
PCA_full,11,PCA_full,5,0.18216788983964058,0.01575588590830699,12096.595272268905,0.26226777380755584,0.43834123470501124,0.028318166732788086
PCA_full,11,PCA_full,6,0.19151574039932276,0.006656713391416699,11158.767268654174,0.26752664542357985,0.41151406379702427,0.03946709632873535
PCA_full,11,PCA_full,7,0.18768489561401455,0.016047139058241025,10478.063301929174,0.21030654754737882,0.4024688828819917,0.03535890579223633
PCA_full,11,PCA_full,8,0.19872609063928312,0.0188813356145333,9669.59671281548,0.2863271738328397,0.47530262256714845,0.04312562942504883
PCA_full,12,PCA_full,2,0.21725031621640897,0.022622477555747377,16551.983429565124,0.19850435187090196,0.30314614342986157,0.020860910415649414
PCA_full,12,PCA_full,3,0.17446312787102825,0.025455722806244623,15101.629161368739,0.2621998450813323,0.41602535764458426,0.024197101593017578
PCA_full,12,PCA_full,4,0.17742397613615749,0.017248666845602518,13915.23321492042,0.25275903746841005,0.40170674460513117,0.026700258255004883
PCA_full,12,PCA_full,5,0.18002613505290338,0.017993598338077878,12739.554146667797,0.2653071683286712,0.43422923919819556,0.03220820426940918
