Method,n_components,k_clusters,Silhouette,Dunn_Index
PCA_randomized,9,7,0.22505156630749207,0.008039981740171797
PCA_randomized,9,8,0.2325623618964713,0.008110655413068163
GRP,9,2,0.2231107359524372,0.008947681114216668
GRP,9,3,0.21630793402978496,0.00858792035090992
GRP,9,4,0.22406958397610027,0.010553211645450618
GRP,9,5,0.229699364461109,0.014068484383345134
GRP,9,6,0.24447027950043285,0.01582465332286773
GRP,9,7,0.23135425020758923,0.02563016918258242
GRP,9,8,0.21962862487484236,0.011374477667242838
SRP,9,2,0.34235094840544916,0.03033255660352816
SRP,9,3,0.24691144432823697,0.03033255660352816
SRP,9,4,0.24312021690702604,0.03269047125856618
SRP,9,5,0.19365385296237264,0.0249960762624504
SRP,9,6,0.2075140896157383,0.0249960762624504
SRP,9,7,0.20793093114594596,0.017409887091880284
SRP,9,8,0.18130602073565222,0.026875321730979868
PCA_full,10,2,0.2344904945972037,0.016044723220830077
PCA_full,10,3,0.1821970309307352,0.021812205571666674
PCA_full,10,4,0.18323005946821877,0.007363145186551527
PCA_full,10,5,0.19451292217898594,0.01580086284255284
PCA_full,10,6,0.19703733366277112,0.007808152933563226
PCA_full,10,7,0.2242807451852112,0.0061741786527272705
PCA_full,10,8,0.217506867961709,0.018170807736888613
PCA_randomized,10,2,0.23449049459325855,0.016044723215312605
PCA_randomized,10,3,0.18219703091268952,0.021812205578462602
PCA_randomized,10,4,0.18323005946769183,0.007363145189505078
PCA_randomized,10,5,0.1945129221819304,0.015800862837458976
PCA_randomized,10,6,0.19703733366498932,0.007808152931117826
PCA_randomized,10,7,0.2242807451904188,0.00617417865302223
PCA_randomized,10,8,0.21750686796723168,0.018170807736877556
GRP,10,2,0.24986754503697542,0.008891914870397845
GRP,10,3,0.23540534992443993,0.008986509546964913
GRP,10,4,0.23791022893444738,0.010227209965245825
GRP,10,5,0.23587450206974037,0.010242196970782848
GRP,10,6,0.20608887951405286,0.01584871131278179
GRP,10,7,0.21620276468679964,0.015415204357997064
GRP,10,8,0.2374542193152993,0.016913240805224525
SRP,10,2,0.35914248673027155,0.033946372201489175
SRP,10,3,0.18945661200197836,0.01579568114813824
SRP,10,4,0.18025413866424028,0.014033743781998374
SRP,10,5,0.19211892654121424,0.020638955242200323
SRP,10,6,0.1719947695116398,0.027001175845379994
SRP,10,7,0.179099833636951,0.015140865547896405
SRP,10,8,0.18468101418600996,0.013830786866306658
PCA_full,11,2,0.22662847811712594,0.022542566501601403
PCA_full,11,3,0.17257018217086573,0.007468580085741432
PCA_full,11,4,0.17267437566560873,0.007351617419265924
PCA_full,11,5,0.18216788983964058,0.01575588590830699
PCA_full,11,6,0.19151574039932276,0.006656713391416699
PCA_full,11,7,0.18768489561401455,0.016047139058241025
PCA_full,11,8,0.19872609063928312,0.0188813356145333
PCA_randomized,11,2,0.22662847811712572,0.0225425665016015
PCA_randomized,11,3,0.1725701821708657,0.007468580085741535
PCA_randomized,11,4,0.17267437566560878,0.0073516174192660285
PCA_randomized,11,5,0.18216788983964052,0.015755885908307007
PCA_randomized,11,6,0.1915157403993228,0.006656713391416898
PCA_randomized,11,7,0.1876848956140145,0.016047139058241046
PCA_randomized,11,8,0.1987260906392831,0.018881335614533278
GRP,11,2,0.2529049934209368,0.008509924559916542
GRP,11,3,0.24102941029528296,0.00806726482559632
GRP,11,4,0.23655168788103215,0.009851861781777198
GRP,11,5,0.24418041450391667,0.013864227039110442
GRP,11,6,0.20910495897213585,0.015523808291858801
GRP,11,7,0.2136343413041342,0.02218731904398166
GRP,11,8,0.22640303905145906,0.025641331983021983
SRP,11,2,0.1645075123984379,0.021452408867686637
SRP,11,3,0.1778480266856854,0.0171619905363507
SRP,11,4,0.1867179854783765,0.014335388699487507
SRP,11,5,0.15622984212385077,0.014335388699487507
SRP,11,6,0.17824719856632326,0.020766633779210855
SRP,11,7,0.17584841265931905,0.022331966036922498
SRP,11,8,0.18307324803215566,0.031366800086217984
PCA_full,12,2,0.21725031621640897,0.022622477555747377
PCA_full,12,3,0.17446312787102825,0.025455722806244623
PCA_full,12,4,0.17742397613615749,0.017248666845602518
PCA_full,12,5,0.18002613505290338,0.017993598338077878
PCA_full,12,6,0.16883396637957626,0.02140768976788886
PCA_full,12,7,0.18226807710288806,0.02140768976788886
PCA_full,12,8,0.20886454635696722,0.020853284812303058
PCA_randomized,12,2,0.21725031621640883,0.02262247755574736
PCA_randomized,12,3,0.17446312787102844,0.025455722806244648
PCA_randomized,12,4,0.1774239761361576,0.017248666845602702
PCA_randomized,12,5,0.18002613505290352,0.017993598338077888
PCA_randomized,12,6,0.16883396637957626,0.02140768976788871
PCA_randomized,12,7,0.1822680771028881,0.02140768976788871
